src des bd delay plr 
0 7 106.072212 0.019894 0.008016
0 1 100.244279 0.019894 0.010611
0 17 105.862809 0.008716 0.011994
0 8 109.358497 0.026614 0.008019
1 2 101.146125 0.019894 0.012389
1 17 105.054239 0.022267 0.0104
1 15 109.27171 0.012162 0.013246
2 3 109.160523 0.019889 0.006185
2 23 104.02002 0.03155 0.007122
2 15 101.023823 0.011685 0.009351
3 4 103.813811 0.019874 0.013319
3 22 104.29074 0.017215 0.01137
3 15 106.670072 0.028922 0.008296
4 5 100.424515 0.019863 0.009595
4 21 105.627399 0.00876 0.005884
4 12 104.722072 0.026627 0.008015
5 6 100.605941 0.01987 0.011281
5 21 106.647173 0.022284 0.010625
5 11 109.636118 0.012152 0.014012
6 7 100.172741 0.019886 0.01035
6 19 104.113593 0.031594 0.014125
6 11 105.866998 0.011611 0.012287
7 18 106.217658 0.01729 0.012263
7 11 106.113553 0.028869 0.014527
8 7 109.516186 0.039932 0.006911
8 9 103.059751 0.019894 0.011727
8 1 105.380204 0.014076 0.006775
8 16 106.473599 0.018171 0.009045
9 10 106.014615 0.019893 0.011394
9 1 101.065739 0.030392 0.009824
9 16 108.734257 0.003984 0.012259
10 11 103.118198 0.019882 0.006392
10 6 102.373062 0.024866 0.010581
10 16 103.393581 0.021993 0.013896
11 12 103.547795 0.019866 0.014375
11 22 101.998604 0.032406 0.012389
12 13 108.639317 0.019864 0.010182
12 5 105.957709 0.014116 0.01222
12 20 105.839504 0.018189 0.012291
13 14 109.769453 0.019878 0.014457
13 5 105.180178 0.030392 0.00662
13 20 107.172484 0.004002 0.01087
14 15 104.211602 0.019891 0.00667
14 2 101.316714 0.024929 0.009001
14 20 108.951459 0.021945 0.009838
15 8 105.730145 0.019895 0.007072
15 18 103.071904 0.032372 0.006278
16 7 107.739214 0.032599 0.006055
16 17 103.082322 0.019894 0.014043
16 0 107.548048 0.0272 0.012265
17 18 109.007463 0.019894 0.006085
17 9 105.928733 0.023356 0.005728
18 19 107.417329 0.019889 0.013438
18 14 100.793301 0.031572 0.013644
18 0 100.014445 0.012613 0.014006
19 20 109.115263 0.019874 0.005213
19 13 105.299162 0.016329 0.008578
19 7 102.632321 0.028481 0.007408
20 21 107.944873 0.019863 0.011124
20 4 102.277721 0.027199 0.009631
21 22 101.803007 0.01987 0.006228
21 13 105.51104 0.023355 0.010289
22 23 104.402881 0.019886 0.007076
22 10 104.797814 0.03162 0.014878
22 4 109.230665 0.012573 0.007447
23 16 108.849163 0.019894 0.006156
23 9 102.126442 0.016387 0.005864
23 3 102.557328 0.028423 0.007853
