src des bd delay plr 
0 5 104.515299 0.025969 0.006752
0 1 106.39776 0.025986 0.009072
0 42 103.299788 0.015145 0.007361
0 11 107.249634 0.015139 0.010158
1 2 103.462203 0.025989 0.013968
1 43 108.350153 0.004102 0.005885
1 6 106.499034 0.011097 0.009541
2 3 102.312924 0.025986 0.014718
2 44 103.615464 0.011097 0.006488
2 7 106.673083 0.004102 0.013855
3 4 109.310383 0.025969 0.007248
3 45 108.294607 0.015139 0.013409
3 8 103.344319 0.015145 0.00789
4 5 104.467656 0.025955 0.009053
4 46 101.200508 0.004091 0.008675
4 9 105.918218 0.011085 0.013076
5 47 101.297193 0.011085 0.012248
5 10 107.036505 0.004091 0.01024
6 5 105.212008 0.045203 0.011917
6 7 104.600729 0.025988 0.009785
6 12 104.761829 0.015145 0.012069
7 8 100.011374 0.025988 0.011828
7 13 106.536057 0.004102 0.009862
8 9 107.947577 0.025979 0.007946
8 14 101.917619 0.011097 0.009213
9 10 104.720809 0.025959 0.011105
9 15 105.467031 0.015139 0.012836
10 11 109.643315 0.025959 0.014392
10 16 108.839101 0.004091 0.011197
11 6 103.575566 0.025979 0.009732
11 17 107.717017 0.011085 0.00964
12 5 107.532069 0.045489 0.006153
12 13 100.922397 0.025986 0.011668
12 23 102.010051 0.015139 0.011173
13 14 104.854075 0.025989 0.011533
13 18 104.916627 0.011097 0.007284
14 15 108.399724 0.025986 0.006949
14 19 100.52252 0.004102 0.012365
15 16 108.997696 0.025969 0.014178
15 20 109.502762 0.015145 0.007014
16 17 103.498682 0.025955 0.014751
16 21 105.826243 0.011085 0.012418
17 12 103.636195 0.025969 0.005951
17 22 106.783703 0.004091 0.012686
18 5 105.291672 0.050561 0.010075
18 19 107.397566 0.025988 0.007605
18 24 101.48386 0.015145 0.011641
19 20 106.724501 0.025988 0.008188
19 25 109.505569 0.004102 0.014272
20 21 102.084235 0.025979 0.012054
20 26 101.604063 0.011097 0.008642
21 22 103.44107 0.025959 0.005204
21 27 108.223017 0.015139 0.007578
22 23 104.562889 0.025959 0.010822
22 28 102.972794 0.004091 0.008731
23 18 107.794312 0.025979 0.006657
23 29 109.546106 0.011085 0.014808
24 5 105.769533 0.044992 0.008676
24 25 103.462609 0.025986 0.013954
24 35 104.446136 0.015139 0.00676
25 26 103.754913 0.025989 0.009036
25 30 103.285288 0.011097 0.008395
26 27 102.611814 0.025986 0.009939
26 31 107.088719 0.004102 0.01406
27 28 104.697033 0.025969 0.005352
27 32 101.074475 0.015145 0.010167
28 29 109.04077 0.025955 0.012165
28 33 108.0646 0.011085 0.006368
29 24 101.27247 0.025969 0.007997
29 34 100.560814 0.004091 0.006365
30 5 100.41419 0.037158 0.010029
30 31 109.79881 0.025988 0.008929
30 36 100.432525 0.015145 0.006201
31 32 106.202203 0.025988 0.010999
31 37 109.588721 0.004102 0.00529
32 33 109.736593 0.025979 0.006283
32 38 103.204779 0.011097 0.012511
33 34 102.723316 0.025959 0.012337
33 39 105.952284 0.015139 0.009488
34 35 100.750108 0.025959 0.009686
34 40 108.811467 0.004091 0.009456
35 30 107.195478 0.025979 0.006752
35 41 105.586722 0.011085 0.006584
36 5 109.800113 0.025087 0.012407
36 37 108.210898 0.025986 0.008373
36 47 104.403139 0.015139 0.010112
37 38 109.997432 0.025989 0.007469
37 42 108.395231 0.011097 0.012936
38 39 102.486647 0.025986 0.010334
38 43 106.908491 0.004102 0.012263
39 40 105.517161 0.025969 0.006882
39 44 109.47052 0.015145 0.011285
40 41 104.405028 0.025955 0.011229
40 45 108.785341 0.011085 0.010904
41 36 105.729067 0.025969 0.009787
41 46 102.589963 0.004091 0.011622
42 5 101.51107 0.029456 0.012938
42 43 101.82636 0.025988 0.013397
43 44 106.796912 0.025988 0.013795
44 45 104.108786 0.025979 0.009296
45 46 108.670059 0.025959 0.006531
46 47 104.419136 0.025959 0.007141
47 42 109.317029 0.025979 0.007241
