src des bd delay plr 
0 1 106.569401 0.013453 0.009587
0 11 106.955152 1.1007482594777211 0.00961
1 2 104.525862 0.013453 0.01181
1 12 100.919187 0.4974229627864395 0.011341
2 3 107.04509 0.013454 0.006697
2 13 102.768405 1.2282749351696807 0.006951
3 4 108.841284 0.01345 0.008025
3 14 105.439828 2.1403986054220856 0.014284
4 5 102.103542 0.013441 0.00554
4 15 103.592439 2.3449734102661397 0.005568
5 6 105.561677 0.01343 0.006664
5 16 106.119624 1.598746767176036 0.007453
6 7 100.222617 0.013426 0.013765
6 17 109.65096 0.7326274712027555 0.011545
7 8 100.571433 0.013432 0.012986
7 18 109.564411 0.6813268224552482 0.013436
8 9 109.862162 0.013444 0.010572
8 19 103.388689 1.741702311122849 0.010287
9 10 107.827934 0.013452 0.00713
9 20 107.676181 2.3726920674992726 0.011338
10 0 109.935118 0.013454 0.012724
10 21 109.141467 2.040894523040687 0.00543
11 12 100.032575 0.013453 0.007997
11 22 101.507189 0.7336330481046546 0.01125
12 13 102.748718 0.013454 0.01382
12 23 106.545169 0.6830534731397061 0.00608
13 14 106.0136 0.013453 0.007206
13 24 100.20853 1.7443594832096172 0.007678
14 15 105.979361 0.013446 0.008234
14 25 104.180296 2.373773057514026 0.006882
15 16 106.025065 0.013435 0.013451
15 26 106.073214 2.0384824299514746 0.009177
16 17 101.277034 0.013427 0.008844
16 27 106.862599 1.0989358347634874 0.012334
17 18 109.373397 0.013428 0.010771
17 28 105.164887 0.49591327339286767 0.011495
18 19 106.947692 0.013438 0.010369
18 29 100.163518 1.225869972111694 0.013189
19 20 100.778468 0.013448 0.008105
19 30 102.600923 2.13820942922274 0.00829
20 21 106.231422 0.013454 0.011871
20 31 104.469426 2.3466039275899115 0.01423
21 11 107.126483 0.013454 0.007956
21 32 107.209437 1.601204845418427 0.014219
22 23 103.601105 0.013453 0.010533
22 33 105.141246 1.1007476459822787 0.007811
23 24 105.071399 0.013453 0.007638
23 34 108.53916 0.4974232768075129 0.007006
24 25 101.485296 0.013454 0.008188
24 35 103.601699 1.2282750191778555 0.013179
25 26 105.733882 0.01345 0.009418
25 36 107.400457 2.140398765602914 0.009075
26 27 103.295312 0.013441 0.010128
26 37 107.859026 2.3449735611674503 0.013238
27 28 102.645759 0.01343 0.007065
27 38 107.308644 1.598746905023809 0.013466
28 29 104.428941 0.013426 0.010479
28 39 101.359196 0.7326270508404963 0.006969
29 30 100.544495 0.013432 0.008213
29 40 101.329761 0.6813267644152234 0.011842
30 31 106.869275 0.013444 0.011343
30 41 107.852413 1.7417023160970426 0.005299
31 32 104.295559 0.013452 0.010175
31 42 101.873538 2.3726922389849974 0.008194
32 22 102.528893 0.013454 0.013021
32 43 102.867398 2.040894508491249 0.014277
33 34 101.838783 0.013453 0.011746
33 44 104.390678 0.7336338098716448 0.011173
34 35 104.360349 0.013454 0.006174
34 45 104.14678 0.6830529067997517 0.007627
35 36 106.332983 0.013453 0.008886
35 46 101.598457 1.7443598947191472 0.011099
36 37 109.822033 0.013446 0.008047
36 47 101.799871 2.3737730879316747 0.005857
37 38 106.6699 0.013435 0.008334
37 48 106.274803 2.038482056564976 0.005288
38 39 102.887181 0.013427 0.006476
38 49 105.515753 1.0989358705605041 0.014956
39 40 100.762251 0.013428 0.005182
39 50 105.357088 0.4959130535336506 0.007775
40 41 100.075434 0.013438 0.013116
40 51 106.605555 1.2258697900230002 0.012961
41 42 108.332119 0.013448 0.008809
41 52 102.40538 2.1382094735899764 0.007231
42 43 106.341551 0.013454 0.005553
42 53 102.966054 2.346603834526056 0.008733
43 33 109.344858 0.013454 0.012609
43 54 100.203346 1.6012048577756068 0.007367
44 45 103.529824 0.013453 0.007006
44 55 108.829092 1.1007477478041552 0.012979
45 46 105.320688 0.013453 0.014513
45 56 104.346939 0.4974233820757216 0.00787
46 47 107.35294 0.013454 0.008795
46 57 100.103399 1.2282743441005772 0.00788
47 48 107.095102 0.01345 0.005021
47 58 101.313496 2.140397977039845 0.010954
48 49 103.349331 0.013441 0.014291
48 59 109.808254 2.3449733327549263 0.009547
49 50 106.372142 0.01343 0.011361
49 60 102.384566 1.598746693881856 0.006895
50 51 107.638668 0.013426 0.005659
50 61 101.66971 0.7326271419130143 0.007387
51 52 108.844802 0.013432 0.012757
51 62 106.564041 0.6813273136909553 0.007429
52 53 103.538512 0.013444 0.008541
52 63 106.726365 1.7417020251138113 0.009776
53 54 100.941724 0.013452 0.006814
53 64 103.698465 2.3726917208768525 0.005237
54 44 102.513321 0.013454 0.008997
54 65 105.519697 2.0408940276674272 0.006136
55 56 108.218344 0.013453 0.008493
55 0 101.084712 0.7336335764842908 0.010093
56 57 108.399652 0.013454 0.011106
56 1 103.629013 0.6830535249489029 0.01042
57 58 100.327551 0.013453 0.008017
57 2 105.012605 1.7443594539828522 0.013352
58 59 101.758601 0.013446 0.014046
58 3 103.365011 2.3737732679775103 0.014564
59 60 103.352089 0.013435 0.009447
59 4 106.703845 2.0384824295726394 0.00853
60 61 106.850546 0.013427 0.006193
60 5 101.15886 1.0989358783107313 0.014803
61 62 104.785374 0.013428 0.008851
61 6 102.296353 0.4959135774600052 0.012914
62 63 100.17078 0.013438 0.011498
62 7 107.868295 1.2258699850568513 0.012106
63 64 106.020579 0.013448 0.00679
63 8 102.805268 2.1382094278343557 0.014557
64 65 105.32703 0.013454 0.006471
64 9 102.746573 2.3466041017770958 0.007031
65 55 103.265369 0.013453 0.014214
65 10 100.446512 1.6012052250455033 0.006605
